CNN,street1,street2,street3,street4
22010000,29TH ST,ZIRCON PL,,
50018000,HALLAM ST,END,,
5028000,EAGLE ST,YUKON ST,,
23704000,WISCONSIN ST,MADERA ST,,
52304000,I-280 SOUTHBOUND,I-280 S ON RAMP,,
21493000,LOWELL ST,HANOVER ST,,
24176000,HOFF ST,17TH ST,,
52059000,SHIELDS ST,END,,
6608000,HAIGHT ST,FILLMORE ST,,
27392000,LAWTON ST,25TH AVE,,
33682000,SADDLEBACK DR,BIRCHWOOD CT,,
6543000,GRIFFITH ST,END,,
25878000,MARKET ST,14TH ST,,
25479000,POWELL ST,BEACH ST,,
50268000,COLIN PL,END,,
4068000,CLARENDON AVE,STANYAN ST,,
25508000,LEAVENWORTH ST,MACONDRAY LN,,
9512000,NATOMA ST,06TH ST,,
13584000,WESTGATE DR,KENWOOD WAY,,
5465000,FELTON ST,GOETTINGEN ST,,
27941000,48TH AVE,KIRKHAM ST,,
9758000,OAK ST,STEINER ST,,
11153000,ROSE ST,OCTAVIA ST,,
12739000,TURK BLVD,CENTRAL AVE,,
26615000,POST ST,PIERCE ST,,
6415000,GRANT AVE,CHESTNUT ST,,
13141000,VAN DYKE AVE,KEITH ST,,
22184000,MOUNT VERNON AVE,LOUISBURG ST,,
19983000,04TH ST,MISSION ROCK ST,,
4889201,DOLORES ST,DAY ST,,
51168000,BROOKHAVEN LN,END,,
7823000,KEYES ALY,PACIFIC AVE,,
33663000,CRESCENT AVE,ALEMANY BLVD OFF RAMP,,
27544000,CLEMENT ST,24TH AVE,,
15158000,COLEMAN ST,GALVEZ AVE,,
20523000,MENDELL ST,YOSEMITE AVE,,
9900000,OCTAVIA ST,UNION ST,,
10291000,PARNASSUS AVE,WILLARD ST,,
33847000,20TH ST,WATERFRONT ST,,
9127000,MISSION ST,25TH ST,,
50886000,REBECCA LN,END,,
19746000,TORNEY AVE,GENERAL KENNEDY AVE,,
661000,15TH ST,CHURCH ST,,
50066000,I-80 WESTBOUND,I-80 W OFF RAMP,,
21265000,GLADYS ST,APPLETON AVE,,
12781000,ULLOA ST,GRANVILLE WAY,,
3685000,CAPRA WAY,PIERCE ST,,
23601000,THE EMBARCADERO,BRYANT ST,,
27776000,MORAGA ST,44TH AVE,,
7625000,JUAN BAUTISTA CIR,CRESPI DR,,
10804000,QUANE ST,22ND ST,,
15214000,IRONWOOD WAY,END,,
19574000,NAUMAN RD,WASHINGTON BLVD,,
3649000,CAMPTON PL,GRANT AVE,,
22158000,JUDSON AVE,EDNA ST,,
24400000,STEVENSON ST,CLINTON PARK,,
19375001,I-80 W OFF RAMP,I-80 WESTBOUND,,
5042000,EARL ST,HUDSON AVE,,
27265000,HAGIWARA TEA GARDEN DR,MARTIN LUTHER KING JR DR,,
12849000,UNION ST,COLUMBUS AVE,,
15216201,MARINA BLVD,HWY 101 NORTHBOUND RAMP,,
1002000,20TH AVE,ANZA ST,,
3701000,CARMEL ST,BELVEDERE ST,,
2435000,ARKANSAS ST,16TH ST,,
24546000,HOWARD ST,THE EMBARCADERO,,
12109000,STARK ST,END,,
21542000,HURON AVE,WHIPPLE AVE,,
25444000,GREENWICH ST,MASON ST,,
25353000,GREEN ST,JASPER PL,,
8281000,LEE AVE,GRAFTON AVE,,
9098000,MISSION ST,MINT ST,,
8654000,MANGELS AVE,GENNESSEE ST,,
23277000,TARAVAL ST,28TH AVE,,
26025000,HAIGHT ST,SCOTT ST,,
4111000,CLAY ST,GOLDBERG LN,,
25746000,ALVARADO ST,NOE ST,,
4587000,DARIEN WAY,SAN LEANDRO WAY,,
26917000,CLAY ST,WALNUT ST,,
20559000,WARD ST,GIRARD ST,,
6994101,HOLLOWAY AVE,STRATFORD DR,,
26240000,OLYMPIA WAY,DELLBROOK AVE,,
24417000,MISSION ST,WASHBURN ST,,
25890000,WALLER ST,BUCHANAN ST,,
7799000,KEITH ST,NELSON AVE,,
27930000,MORAGA ST,45TH AVE,,
8645000,MANDALAY LN,14TH AVE,,
23354000,TARAVAL ST,33RD AVE,,
27398000,29TH AVE,ORTEGA ST,,
21723000,BRAZIL AVE,LONDON ST,,
11389000,SAN BRUNO AVE,HARKNESS AVE,,
22968000,MAGELLAN AVE,12TH AVE,,
6135101,GENEVA AVE,BANNOCK ST,,
19411000,KEYES AVE,LINCOLN BLVD,,
51853000,FAIRFAX AVE,GRIFFITH ST,,
5371001,EXECUTIVE PARK BLVD,ALANA WAY,,
22433000,EVELYN WAY,PORTOLA DR,,
25137000,DODGE ST,TURK ST,,
33563000,SUNSET BLVD,YORBA ST,,
21214000,MOULTRIE ST,EUGENIA AVE,,
27649000,LAKE ST,23RD AVE,,
25745000,23RD ST,CASTRO ST,,
13736000,WRIGHT ST,HOLLADAY AVE,,
22243000,FRIDA KAHLO WAY,FLOOD AVE,,
22960000,MONTALVO AVE,MAGELLAN AVE,,
24925000,EDDY ST,TAYLOR ST,,
25331000,FRESNO ST,GRANT AVE,,
24135000,SHOTWELL ST,17TH ST,,
7435000,JAMESTOWN AVE,KEITH ST,,
25616000,QUANE ST,24TH ST,,
26974000,LOMBARD ST,DIVISADERO ST,,
26367000,BAKER ST,TERRA VISTA AVE,,
838000,18TH AVE,LAWTON ST,,
26734000,BUCHANAN ST,GREENWICH ST,,
9842101,OCEAN AVE,PALOMA AVE,,
54048000,KEARNY ST,LA FERRERA TER,,
25627000,GUERRERO ST,21ST ST,,
25513000,UNION ST,SHARP PL,,
25301000,POLK ST,SACRAMENTO ST,,
24274000,FOLSOM ST,LANGTON ST,,
21010000,SWEENY ST,SAN BRUNO AVE,,
4360000,CONSTANSO WAY,CRESTLAKE DR,,
20800000,KIRKWOOD AVE,LETTUCE LN,,
32992000,GATUN ALY,BELLA VISTA WAY,,
19224000,HWY 101 NORTHBOUND,HWY 101 N OFF RAMP,,
52101000,HWY 101 TO HWY 1 RAMP,HWY 1 SOUTHBOUND,,
22583000,PLYMOUTH AVE,HOLLOWAY AVE,,
9837102,OCEAN AVE,END,,
27174000,IRVING ST,14TH AVE,,
21512000,MOUNT VERNON AVE,DEL MONTE ST,,
2232000,ALVISO ST,HOLLOWAY AVE,,
22598000,BRIGHT ST,SARGENT ST,,
26173000,MERRITT ST,DANVERS ST,,
27809000,44TH AVE,LINCOLN WAY,,
10010000,ORTEGA ST,22ND AVE,,
9878401,OCTAVIA ST,PAGE ST,,
4804101,DIVISADERO ST,GROVE ST,,
51545000,QUARRY RD,FERNANDEZ ST,,
8244000,LEAVENWORTH ST,GEARY ST,,
50350000,EDDY ST,POWELL ST,,
22483000,DE LONG ST,FLOURNOY ST,,
6081201,GEARY BLVD,24TH AVE,,
12836000,UNION ST,CALHOUN TER,,
25732000,DEHON ST,16TH ST,,
22698000,RAMSELL ST,SHIELDS ST,,
24229000,HARRISON ST,11TH ST,,
13291201,VIDAL DR,ARBALLO DR,,
21339000,MISSION ST,POWERS AVE,,
25170000,LARKIN ST,GEARY ST,,
4311000,COMMERCIAL ST,BATTERY ST,,
20825000,BAY SHORE BLVD,COSTA ST,,
27443000,MARTIN LUTHER KING JR DR,STOW LAKE DR,,
23345000,VICENTE ST,31ST AVE,,
21134000,PRECITA AVE,FLORIDA ST,,
11493000,SAN MARCOS AVE,DORANTES AVE,,
23804000,TOWNSEND ST,CLARENCE PL,,
23376000,ULLOA ST,36TH AVE,,
26040000,GROVE ST,STEINER ST,,
13019000,UPTON ST,JERROLD AVE,,
52049000,MONTE VISTA DR,END,,
26270000,SHRADER ST,CARMEL ST,,
3929000,CHENERY ST,BROMPTON AVE,,
50320000,LILY ST,END,,
23772000,KANSAS ST,MARIPOSA ST,,
12694000,TRENTON ST,JACKSON ST,,
1052000,20TH ST,FOLSOM ST,,
24173000,CLARION ALY,VALENCIA ST,,
26194000,CLAYTON ST,DEMING ST,,
51430000,GIBSON RD,END,,
50966000,ERVINE ST,END,,
21554000,HURON AVE,FARRAGUT AVE,,
11864000,SHRADER ST,17TH ST,,
21296000,SOUTH VAN NESS AVE,26TH ST,,
26328000,UPPER TER,MASONIC AVE,,
23654000,PENNSYLVANIA AVE,18TH ST,,
24033000,ALABAMA ST,18TH ST,,
24842000,VALLEJO ST,KEARNY ST,,
23384000,SUNSET BLVD,TARAVAL ST,,
6971000,HOLLOWAY AVE,FAXON AVE,,
22908000,SAN BUENAVENTURA WAY,SAINT FRANCIS BLVD,,
51935000,CARROLL AVE,SHIP ST,,
10702000,POWELL ST,FRANCISCO ST,,
32888000,SANTIAGO ST,14TH AVE,,
1509000,26TH ST,VERMONT ST,,
21868000,MATEO ST,CHENERY ST,,
22718000,SHIELDS ST,VERNON ST,,
27677000,32ND AVE,ORTEGA ST,,
376000,07TH ST,BRANNAN ST,,
2556000,AVALON AVE,LONDON ST,,
21608000,PERSIA AVE,DUBLIN ST,,
54051000,CLAY ST,TORRENS CT,,
12924000,UNNAMED 038,ROCKDALE DR,,
19675000,SANCHES ST,MORTON ST,,
5531000,FILLMORE ST,GERMANIA ST,,
22336000,CLIPPER ST,DIAMOND HEIGHTS BLVD,,
50649000,SHERWOOD CT,END,,
10458001,PINE ST,LEIDESDORFF ST,,
11559000,SANSOME ST,FILBERT ST,,
6751000,HARRISON ST,19TH ST,,
33206000,PENINSULA AVE,HESTER AVE,,
9459000,MURRAY ST,COLLEGE AVE,,
13085000,VALLEJO ST,PRESCOTT CT,,
19275000,HWY 101 SOUTHBOUND,HWY 101 S ON RAMP,,
24883000,MISSION ST,MARY ST,,
22408000,TERESITA BLVD,ISOLA WAY,,
54205000,UNNAMED 188,JAUSS ST,,
22491000,SADOWA ST,ORIZABA AVE,,
24461000,GROVE ST,FRANKLIN ST,,
20772000,HALE ST,BARNEVELD AVE,,
12775000,ULLOA ST,WOODSIDE AVE,,
23927000,CLEVELAND ST,SHERMAN ST,,
8140000,LARKIN ST,PINE ST,,
25867000,HAIGHT ST,LAGUNA ST,,
6578201,GUERRERO ST,16TH ST,,
27076000,06TH AVE,LOCKSLEY AVE,,
25031000,GRANT AVE,JACK KEROUAC ALY,,
9730000,OFARRELL ST,LEAVENWORTH ST,,
11863000,SHRADER ST,RIVOLI ST,,
51287000,FISHER LOOP,END,,
11071000,RIVERA ST,37TH AVE,,
7948000,LAGUNA ST,FELL ST,,
5200000,ELLSWORTH ST,OGDEN AVE,,
23720000,VERMONT ST,25TH ST,,
13546000,WEBSTER ST,SACRAMENTO ST,,
50844000,OLNEY AVE,COUNTY LINE,,
51105000,ROME ST,END,,
24801000,VALLEJO ST,DAVIS ST,,
27331000,LAWTON ST,17TH AVE,,
35008000,ROSE ST,OCTAVIA ST,,
6516000,GREENWICH ST,LAGUNA ST,,
25534000,COLUMBUS AVE,JONES ST,,
4741000,DIAMOND ST,21ST ST,,
33645000,LE CONTE AVE,LE CONTE CIR,,
50900000,BESSIE ST,END,,
9406000,MOSS ST,HOWARD ST,,
1564000,27TH ST,GUERRERO ST,,
12572000,THOMAS AVE,JENNINGS ST,,
5206000,ELM ST,END,,
51406000,18TH AVE,END,,
20434000,CORONADO ST,JAMESTOWN AVE,,
11768000,SERRANO DR,CARDENAS AVE,,
6585201,GUERRERO ST,23RD ST,,
11449000,SAN JOSE AVE,NANTUCKET AVE,,
33478000,JUNIPERO SERRA BLVD,JUNIPERO SERRA BLVD OFF RAMP,,
25640000,ELIZABETH ST,CHURCH ST,,
24715000,BALANCE ST,GOLD ST,,
10912000,RANDALL ST,WHITNEY ST,,
11694000,SCOTT ST,TURK ST,,
6565000,GROVE ST,BRODERICK ST,,
21745000,LEO ST,MISSION ST,,
5069000,EDDY ST,LAGUNA ST,,
33488000,VIDAL DR,UNNAMED 112,,
24206000,HARRISON ST,10TH ST,,
8915000,MCCOPPIN ST,JESSIE ST,,
6690000,HARNEY WAY,JAMESTOWN AVE,,
24611000,NEW MONTGOMERY ST,AMBROSE BIERCE ST,,
26274000,GRATTAN ST,BELVEDERE ST,,
23280000,SANTIAGO ST,28TH AVE,,
4008000,CHURCH ST,RESERVOIR ST,,
2655000,BALBOA ST,11TH AVE,,
51936000,DONNER AVE,SHIP ST,,
25718000,19TH ST,SANCHEZ ST,,
22423000,JUANITA WAY,EVELYN WAY,,
911201,19TH AVE,JUDAH ST,,
12806000,ULLOA ST,29TH AVE,,
33178000,WARE ST,SAN BRUNO AVE,,
8371201,LINCOLN WAY,33RD AVE,,
11515000,SANCHEZ ST,FORD ST,,
4834000,DIVISADERO ST,BEACH ST,,
10209000,PALOMA AVE,OCEAN AVE,,
903000,19TH AVE,CALIFORNIA ST,,
6253000,GOLD MINE DR,ORA WAY,,
25899000,HAIGHT ST,FILLMORE ST,,
51639000,UNNAMED 040,END,,
51486000,LINCOLN BLVD,EL CAMINO DEL MAR,,
19467000,LINCOLN BLVD,END,,
19164000,HARRISON BLVD,KOBBE AVE,,
19992000,CHANNEL ST,04TH ST,,
9575000,NEWHALL ST,PALOU AVE,,
7894000,KIRKWOOD AVE,03RD ST,,
20668000,KIRKWOOD AVE,NEWHALL ST,,
24966000,OPHIR ALY,COSMO PL,,
7045000,HOWARD ST,RUSS ST,,
22333000,CORALINO LN,CAMEO WAY,,
6502000,GREENWICH ST,ROACH ST,,
51089000,RESTANI STWY,RESTANI WAY,,
26751000,FILLMORE ST,LOMBARD ST,,
51556000,FINLEY RD,ARGUELLO BLVD,,
23132000,OCEAN AVE,SYLVAN DR,,
12565000,THERESA ST,ALEMANY BLVD,,
22168000,NAHUA AVE,OTEGA AVE,,
5183002,ELLIS ST,QUICKSTEP LN,,
25154000,GEARY ST,LEAVENWORTH ST,,
27893000,CLEMENT ST,36TH AVE,,
22109000,OTSEGO AVE,SANTA YSABEL AVE,,
21940000,DIAMOND ST,BOSWORTH ST,,
26635000,STEINER ST,PERINE PL,,
51622000,ROBINSON ST,END,,
23907000,CLARA ST,04TH ST,,
1018000,20TH AVE,ULLOA ST,,
22587000,OCEAN AVE,PLYMOUTH AVE,,
9890000,OCTAVIA ST,BUSH ST,,
24851000,MONTAGUE PL,MONTGOMERY ST,,
22022000,DUNCAN ST,NEWBURG ST,,
21681000,PERU AVE,MADRID ST,,
26046000,MCALLISTER ST,STEINER ST,,
26391000,GOLDEN GATE AVE,ANNAPOLIS TER,,
22471000,PLYMOUTH AVE,BROAD ST,,
19322000,I-280 S OFF RAMP,END,,
25048000,POWELL ST,WASHINGTON ST,,
21414000,WINDING WAY,DRAKE ST,,
25547000,EASTMAN ST,ROCKLAND ST,,
8556000,LYON ST,FELL ST,,
22857000,VASQUEZ AVE,LAGUNA HONDA BLVD,,
22545000,BROTHERHOOD WAY,JUNIPERO SERRA BLVD ON RAMP,,
27838000,32ND AVE,ANZA ST,,
50106000,HAVENS ST,END,,
26618000,GEARY BLVD,SCOTT ST,,
27337000,21ST AVE,ORTEGA ST,,
50847000,QUEBEC AVE,COUNTY LINE,,
4304000,COLUMBUS AVE,FRANCISCO ST,,
23177000,ULLOA ST,22ND AVE,,
22923000,TERRACE DR,PORTOLA DR,,
7949000,LAGUNA ST,LINDEN ST,,
25699000,ALBION ST,16TH ST,,
4441000,CORTLAND AVE,HILTON ST,,
33165000,WALLACE AVE,HAWES ST,,
27289000,GEARY BLVD,09TH AVE,,
20980000,OXFORD ST,FELTON ST,,
11068000,RIVERA ST,35TH AVE,,
50154000,SCHOOL ALY,END,,
27069000,ARGUELLO BLVD,HUGO ST,,
25741000,NOE ST,23RD ST,,
2800201,BAY SHORE BLVD,OAKDALE AVE,,
9514000,NATOMA ST,07TH ST,,
1641000,30TH AVE,CLEMENT ST,,
12812000,ULLOA ST,35TH AVE,,
3521000,CALEDONIA ST,SPARROW ST,,
24751000,GRANT AVE,CALIFORNIA ST,,
21905000,29TH ST,CHURCH ST,,
26498000,FRANKLIN ST,BUSH ST,,
19860000,UNNAMED 146,EDIE RD,,
12601000,THORNTON AVE,MERCURY ST,,
13431000,WASHINGTON ST,LARKIN ST,,
3608000,CALIFORNIA ST,31ST AVE,,
24615000,JESSIE ST,ANNIE ST,,
11731000,SEAL ROCK DR,ALTA MAR WAY,,
10067000,OXFORD ST,SILLIMAN ST,,
26112000,CORBETT AVE,GOLDING LN,,
23171000,ULLOA ST,20TH AVE,,
25451000,GREENWICH ST,POWELL ST,,
23376000,36TH AVE,ULLOA ST,,
27966000,JOHN F KENNEDY DR,GREAT HWY,,
12834000,UNION ST,ICEHOUSE ALY,,
33550000,AUTOMOBILE DR,27TH AVE,,
10882000,QUINTARA ST,47TH AVE,,
26671000,STEINER ST,BROADWAY,,
26612000,ELLIS ST,PIERCE ST,,
12566000,THERESA ST,CAYUGA AVE,,
10906000,RAMSELL ST,GARFIELD ST,,
13623000,WHITTIER ST,BRUNSWICK ST,,
33640000,JUNIPERO SERRA BLVD,WOODACRE DR,,
26791000,FILLMORE ST,MARINA BLVD,,
22771000,OCEAN AVE,SAN BENITO WAY,,
33667000,JUSTIN DR,END,,
21738000,RUSSIA AVE,PARIS ST,,
9250000,MONTALVO AVE,CASTENADA AVE,,
10651000,POST ST,SCOTT ST,,
27451000,JOHN F KENNEDY DR,STOW LAKE DR,,
9855000,OCEAN AVE,23RD AVE,,
9135000,MISSION ST,VIRGINIA AVE,,
8500000,LOUISBURG ST,GENEVA AVE,,
23539000,MINNESOTA ST,26TH ST,,
6908000,HIGH ST,CLIPPER TER,,
7959000,LAGUNA ST,EDDY ST,,
10971000,REVERE AVE,ARELIOUS WALKER DR,,
6691000,HARNEY WAY,EXECUTIVE PARK BLVD,,
23100000,HIGUERA AVE,ARBALLO DR,,
27731000,KIRKHAM ST,PINO ALY,,
26853000,SCOTT ST,JACKSON ST,,
12418000,TARAVAL ST,41ST AVE,,
6551000,GROTE PL,FOLSOM ST,,
21816000,MURRAY ST,COLLEGE AVE,,
12033000,SOUTH VAN NESS AVE,26TH ST,,
23891000,HARRIET ST,BRANNAN ST,,
10933000,RANKIN ST,OAKDALE AVE,,
33143000,WHITNEY YOUNG CIR,PROGRESS ST,,
22140000,MONTEREY BLVD,CONGO ST,,
5125101,EL CAMINO DEL MAR,SEACLIFF AVE,,
20846000,MANSELL ST,BOWDOIN ST,,
13209000,VERMONT ST,ALAMEDA ST,,
33725000,UNNAMED 106,19TH AVE,,
22801000,BRENTWOOD AVE,COLON AVE,,
26858000,DIVISADERO ST,PACIFIC AVE,,
12943000,UNNAMED 068,MORSE ST,,
26455000,TAMALPAIS TER,GOLDEN GATE AVE,,
8593000,MADDUX AVE,QUINT ST,,
22597000,MONTANA ST,ORIZABA AVE,,
14166000,EXPOSITION DR,GATEVIEW AVE,,
4866201,DOLORES ST,16TH ST,,
51661000,WOOLSEY ST,END,,
6143101,GENEVA AVE,EDINBURGH ST,,
34112000,14TH TI ST,AVENUE M,,
21201000,PARK ST,ANDOVER ST,,
30021000,TERRY A FRANCOIS BLVD,03RD ST,,
2012000,45TH AVE,VICENTE ST,,
27953000,IRVING ST,48TH AVE,,
51152000,VICTORIA ST,END,,
6209000,GIRARD ST,FRATESSA CT,,
30766000,BEACH ST,HYDE ST,,
13405000,WASHINGTON ST,DAVIS ST,,
27223000,JORDAN AVE,GEARY BLVD,,
52145000,I-280 S OFF RAMP,I-280 SOUTHBOUND,,
51218000,TORNEY AVE,GENERAL KENNEDY AVE,,
1830000,37TH AVE,LAWTON ST,,
13104000,VALLEJO ST,LEAVENWORTH ST,,
50686000,CUNNINGHAM PL,END,,
26235000,STARVIEW WAY,PANORAMA DR,,
33685000,PERALTA AVE,UNNAMED 186,,
4241000,COLE ST,BEULAH ST,,
4682000,DELANO AVE,SEMINOLE AVE,,
8426000,LOCUST ST,CALIFORNIA ST,,
8228000,LAWTON ST,47TH AVE,,
6723000,HARRISON ST,MORRIS ST,,
50667000,DORADO TER,END,,
854000,18TH ST,MISSISSIPPI ST,,
21987000,CONRAD ST,ARBOR ST,,
26452000,LOYOLA TER,FULTON ST,,
21459000,PRETOR WAY,CONCORD ST,,
10822000,QUESADA AVE,SILVER AVE,,
33507000,EMERALD LN,RIVERTON DR,,
6836000,HAZELWOOD AVE,JUDSON AVE,,
25365000,STOCKTON ST,UNION ST,,
52032000,GOETTINGEN ST,END,,
34181000,CHINA BASIN ST,MERRIMAC ST,,
27442000,STOW LAKE DR,MARTIN LUTHER KING JR DR,,
13016000,UPPER TER,ASHBURY TER,,
22886000,DEWEY BLVD,PACHECO ST,,
19753000,NORTH DR,FIRST DR,,
11050000,RIVERA ST,CECILIA AVE,,
9503000,NAPOLEON ST,SELBY ST,,
23082000,EUCALYPTUS DR,20TH AVE,,
21295000,PRECITA AVE,COSO AVE,,
27468000,19TH AVE,FULTON ST,,
5907000,FULTON ST,ARGUELLO BLVD,,
22006000,NOE ST,28TH ST,,
24713000,GOLD ST,SANSOME ST,,
5910000,FULTON ST,04TH AVE,,
33617000,MARIPOSA ST,SAN BRUNO AVE,,
27882000,43RD AVE,CABRILLO ST,,
10618201,PORTOLA DR,LAGUNA HONDA BLVD,,
25066000,TURK MURPHY LN,BROADWAY,,
25949000,OAK ST,FILLMORE ST,,
765000,17TH AVE,PACHECO ST,,
26054000,PIERCE ST,FULTON ST,,
7016002,HOLYOKE ST,END,,
8384201,LINCOLN WAY,46TH AVE,,
9366000,MORAGA ST,40TH AVE,,
22243000,FLOOD AVE,FRIDA KAHLO WAY,,
33378000,SAINT MARYS AVE,ARLINGTON ST,,
25959000,GOLDEN GATE AVE,LAGUNA ST,,
3029101,BOSWORTH ST,LIPPARD AVE,,
5565000,FILLMORE ST,GREENWICH ST,,
11015000,RICHTER AVE,EARL ST,,
28028000,31ST AVE,SEA VIEW TER,,
10003000,ORTEGA ST,16TH AVE,,
24370000,MINNA ST,14TH ST,,
8000000,LAGUNITAS DR,CRANLEIGH DR,,
21184000,GATES ST,OGDEN AVE,,
51922000,MOULTRIE ST,END,,
27146000,KIRKHAM ST,10TH AVE,,
8952000,MELROSE AVE,GENNESSEE ST,,
2580000,BACON ST,SAN BRUNO AVE,,
26429000,WALLER ST,SHRADER ST,,
7403000,JACKSON ST,WEBSTER ST,,
7756000,KEARNY ST,SACRAMENTO ST,,
963000,19TH ST,FLORIDA ST,,
51248000,RODRIGUEZ ST,PORTOLA ST,,
1849000,38TH AVE,BALBOA ST,,
9357000,MORAGA ST,32ND AVE,,
3287000,BRYANT ST,OAK GROVE ST,,
4787000,DIAZ AVE,GONZALEZ DR,,
51257000,MORAGA AVE,UNNAMED 145,,
34134000,GATEVIEW AVE,AVENUE B,,
11447000,SAN JOSE AVE,COLONIAL WAY,,
27325000,NORIEGA ST,15TH AVE,,
51332000,UNNAMED 077,UNNAMED 078,,
24175000,HOFF ST,16TH ST,,
2843000,BEACH ST,JONES ST,,
23645000,MINNESOTA ST,19TH ST,,
51073000,EL PLAZUELA WAY,END,,
27210000,FULTON ST,02ND AVE,,
5035000,EARL ST,RICHTER AVE,,
11856000,SHRADER ST,HAIGHT ST,,
12286201,SUNSET BLVD,TARAVAL ST,,
11085000,RIVERTON DR,OCEAN AVE,,
24903000,POWELL ST,GEARY ST,,
20305000,GOETTINGEN ST,CAMPBELL AVE,,
24933000,HYDE ST,TURK ST,,
12689000,TREAT AVE,23RD ST,,
24671000,PINE ST,BATTERY ST,,
5060000,EDDY ST,TAYLOR ST,,
27102000,NORIEGA ST,08TH AVE,,
51309000,TAYLOR RD,SHERIDAN AVE,,
4910000,DONNER AVE,END,,
27581000,JACKSON ST,ARGUELLO BLVD,,
19096000,FERNANDEZ ST,MACARTHUR AVE,,
25077000,SACRAMENTO ST,CUSHMAN ST,,
20734000,ROBBLEE AVE,REVERE AVE,,
6272000,GOLDEN GATE AVE,STEINER ST,,
27796000,41ST AVE,JUDAH ST,,
22259000,JOOST AVE,HAZELWOOD AVE,,
51223000,KENDALL DR,BIRMINGHAM RD,,
21146000,POWHATTAN AVE,PRENTISS ST,,
19326000,I-280 S OFF RAMP,END,,
6060101,GEARY BLVD,04TH AVE,,
33738000,LAKE MERCED BLVD,LAKE MERCED HILL,,
27885000,37TH AVE,ANZA ST,,
9389000,MORSE ST,POPE ST,,
10228000,PALOU AVE,RANKIN ST,,
26947000,SACRAMENTO ST,MAPLE ST,,
5535000,FILLMORE ST,PAGE ST,,
24350000,KISSLING ST,11TH ST,,
7500105,JERROLD AVE,LETTUCE LN,,
51387000,GIBSON RD,BOWLEY ST,,
13569000,WELDON ST,ISLAIS ST,,
51257000,UNNAMED 145,MORAGA AVE,,
33714000,CHURCH ACCESS RD,CHURCH PARKING LOT,,
7285000,IRVING ST,08TH AVE,,
22699000,SHIELDS ST,ARCH ST,,
21259000,ELSIE ST,HOLLY PARK CIR,,
19197000,HWY 101 N ON RAMP,MARIN ST,,
21608000,DUBLIN ST,PERSIA AVE,,
12451000,TAYLOR ST,VALLEJO ST,,
20392000,LOEHR ST,LELAND AVE,,
22201000,WILLIAR AVE,MOUNT VERNON AVE,,
13055000,VALENCIA ST,CLINTON PARK,,
8025000,LAKE ST,16TH AVE,,
21697000,CRAUT ST,TRUMBULL ST,,
8592000,MACONDRAY LN,JONES ST,,
8450000,LOMBARD ST,HYDE ST,,
27892000,SHORE VIEW AVE,36TH AVE,,
22721000,BYXBEE ST,SHIELDS ST,,
20902000,SILLIMAN ST,SOMERSET ST,,
25860000,GUERRERO ST,DUBOCE AVE,,
22805000,YERBA BUENA AVE,BRENTWOOD AVE,,
23784000,16TH ST,OWENS ST,,
25250000,WASHINGTON ST,REED ST,,
20225000,GALVEZ AVE,NEWHALL ST,,
8591000,MACONDRAY LN,TAYLOR ST,,
21840000,SAN JOSE AVE,BROOK ST,,
26193000,CLAYTON ST,CORBETT AVE,,
54086000,AVON WAY,END,,
13361000,WALLER ST,WEBSTER ST,,
21398000,MOSCOW ST,FRANCE AVE,,
26499000,FRANKLIN ST,AUSTIN ST,,
11624000,SANTIAGO ST,33RD AVE,,
6844000,HAZELWOOD AVE,BRENTWOOD AVE,,
51533000,UNNAMED 064,MASON ST,,
21556000,LAURA ST,HURON AVE,,
27480000,GEARY BLVD,14TH AVE,,
9939000,OLYMPIA WAY,STARVIEW WAY,,
25040000,BEDFORD PL,JACKSON ST,,
20203000,EVANS AVE,MENDELL ST,,
22265000,STILLINGS AVE,MARTHA AVE,,
25401000,CHESTNUT ST,BELLAIR PL,,
7180000,ILS LN,END,,
5098000,EDNA ST,JUDSON AVE,,
22452000,LIEBIG ST,LESSING ST,,
7631000,JUANITA WAY,TERESITA BLVD,,
4433000,CORTLAND AVE,PRENTISS ST,,
21471000,POPE ST,MORSE ST,,
22791000,SAN LEANDRO WAY,DARIEN WAY,,
3141000,BROADMOOR DR,WINSTON DR,,
33605000,VELASCO AVE,SCHWERIN ST,,
26419000,OAK ST,COLE ST,,
10970101,REUEL CT,HUDSON AVE,,
21693000,MAYNARD ST,CRAUT ST,,
32942000,IRON ALY,CLAYTON ST,,
7006000,HOLLY PARK CIR,HIGHLAND AVE,,
4900000,DONAHUE ST,KIRKWOOD AVE,,
23399000,PACHECO ST,30TH AVE,,
33750000,DE HARO ST,END,,
10101000,PACHECO ST,29TH AVE,,
11208000,RUTLAND ST,TEDDY AVE,,
6560002,GROVE ST,BANNEKER WAY,,
33401000,SUSSEX ST,UNNAMED 011,,
4655000,DE LONG ST,SAN DIEGO AVE,,
11806000,SHIELDS ST,ORIZABA AVE,,
25272000,LEAVENWORTH ST,JACKSON ST,,
4849000,DIXIE ALY,CORBETT AVE,,
25721000,ABBEY ST,17TH ST,,
6584201,GUERRERO ST,22ND ST,,
50027000,STEVENSON ST,END,,
13495000,WAWONA ST,41ST AVE,,
575000,14TH AVE,VICENTE ST,,
8464101,LOMBARD ST,DIVISADERO ST,,
11567000,SANTA BARBARA AVE,HEAD ST,,
11963201,SLOAT BLVD,45TH AVE,,
4326001,MUSIC CONCOURSE ACCESS RD,HAGIWARA TEA GARDEN DR,,
